EmpID,Age,AgeGroup,ATTRITION_STATUS,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome_SLABWISE,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked_SLABWISE,NumCompaniesWorked,Over18,OverTime,SALARY HIKE SLAB,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears-SLABWISE,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany_SLABWISE,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion_LST PROMOTION,YearsSinceLastPromotion,YearsWithCurrManager
RM178,19,18-25,1,Yes,Travel_Rarely,303,Research & Development,0-5 KM,2,3,Life Sciences,1,243,GOOD,Male,47,2,1,Laboratory Technician,FULLY SATISFIED,Single,1102,Upto 5k,9241,1 TO 4,1,Y,No,21-25 %,22,ABOVE AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,1,3,GOOD ,0-5YR,1,0,0-3 YR,1,0
RM423,19,18-25,1,Yes,Travel_Rarely,489,Human Resources,0-5 KM,2,2,Technical Degree,1,566,POOR,Male,52,2,1,Human Resources,FULLY SATISFIED,Single,2564,Upto 5k,18437,1 TO 4,1,Y,No,10-15%,12,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,1,3,EXCELENT,0-5YR,1,0,0-3 YR,0,0
RM689,19,18-25,1,Yes,Travel_Rarely,419,Sales,20 -30 KM,21,3,Other,1,959,EXCELLENT,Male,37,2,1,Sales Representative,POOR,Single,2121,Upto 5k,9947,1 TO 4,1,Y,Yes,10-15%,13,AVERAGE,POOR,80,BEGINNER,0-5 YEARS,1,3,EXCELENT,0-5YR,1,0,0-3 YR,0,0
RM854,19,18-25,0,No,Travel_Rarely,645,Research & Development,6-10 KM,9,2,Life Sciences,1,1193,VERY GOOD,Male,54,3,1,Research Scientist,NOT SATISFIED,Single,2552,Upto 5k,7172,1 TO 4,1,Y,No,21-25 %,25,ABOVE AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,1,4,VERY GOOD,0-5YR,1,1,0-3 YR,0,0
RM893,19,18-25,1,Yes,Non-Travel,504,Research & Development,6-10 KM,10,3,Medical,1,1248,POOR,Female,96,2,1,Research Scientist,POOR,Single,1859,Upto 5k,6148,1 TO 4,1,Y,Yes,21-25 %,25,ABOVE AVERAGE,POOR,80,BEGINNER,0-5 YEARS,1,2,EXCELENT,0-5YR,1,1,0-3 YR,0,0
RM910,19,18-25,0,No,Travel_Rarely,265,Research & Development,20 -30 KM,25,3,Life Sciences,1,1269,GOOD,Female,57,4,1,Research Scientist,FULLY SATISFIED,Single,2994,Upto 5k,21221,1 TO 4,1,Y,Yes,10-15%,12,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,1,2,VERY GOOD,0-5YR,1,0,0-3 YR,0,1
RM103,20,18-25,1,Yes,Travel_Frequently,871,Research & Development,6-10 KM,6,3,Life Sciences,1,137,EXCELLENT,Female,66,2,1,Laboratory Technician,FULLY SATISFIED,Single,2926,Upto 5k,19783,1 TO 4,1,Y,Yes,16-20%,18,AVERAGE,POOR,80,BEGINNER,0-5 YEARS,1,5,VERY GOOD,0-5YR,1,0,0-3 YR,1,0
RM488,20,18-25,0,No,Travel_Rarely,959,Research & Development,0-5 KM,1,3,Life Sciences,1,657,EXCELLENT,Female,83,2,1,Research Scientist,POOR,Single,2836,Upto 5k,11757,1 TO 4,1,Y,No,10-15%,13,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,1,0,EXCELENT,0-5YR,1,0,0-3 YR,0,0
RM514,20,18-25,1,Yes,Travel_Rarely,1362,Research & Development,6-10 KM,10,1,Medical,1,701,EXCELLENT,Male,32,3,1,Research Scientist,GOOD,Single,1009,Upto 5k,26999,1 TO 4,1,Y,Yes,10-15%,11,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,1,5,VERY GOOD,0-5YR,1,0,0-3 YR,1,1
RM663,20,18-25,1,Yes,Travel_Rarely,500,Sales,0-5 KM,2,3,Medical,1,922,VERY GOOD,Female,49,2,1,Sales Representative,GOOD,Single,2044,Upto 5k,22052,1 TO 4,1,Y,No,10-15%,13,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,2,3,GOOD ,0-5YR,2,2,0-3 YR,0,2
RM690,20,18-25,1,Yes,Travel_Rarely,129,Research & Development,0-5 KM,4,3,Technical Degree,1,960,POOR,Male,84,3,1,Laboratory Technician,NOT SATISFIED,Single,2973,Upto 5k,13008,1 TO 4,1,Y,No,16-20%,19,AVERAGE,POOR,80,BEGINNER,0-5 YEARS,1,2,VERY GOOD,0-5YR,1,0,0-3 YR,0,0
RM732,20,18-25,1,Yes,Travel_Rarely,1097,Research & Development,11-15 KM,11,3,Medical,1,1016,EXCELLENT,Female,98,2,1,Research Scientist,NOT SATISFIED,Single,2600,Upto 5k,18275,1 TO 4,1,Y,Yes,10-15%,15,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,1,2,VERY GOOD,0-5YR,1,0,0-3 YR,0,0
RM777,20,18-25,1,Yes,Travel_Frequently,769,Sales,6-10 KM,9,3,Marketing,1,1077,EXCELLENT,Female,54,3,1,Sales Representative,FULLY SATISFIED,Single,2323,Upto 5k,17205,1 TO 4,1,Y,Yes,10-15%,14,AVERAGE,POOR,80,BEGINNER,0-5 YEARS,2,3,VERY GOOD,0-5YR,2,2,0-3 YR,0,2
RM857,20,18-25,0,No,Travel_Rarely,805,Research & Development,0-5 KM,3,3,Life Sciences,1,1198,POOR,Male,87,2,1,Laboratory Technician,GOOD,Single,3033,Upto 5k,12828,1 TO 4,1,Y,No,10-15%,12,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,2,2,GOOD ,0-5YR,2,2,0-3 YR,1,2
RM877,20,18-25,0,No,Travel_Rarely,654,Sales,20 -30 KM,21,3,Marketing,1,1226,VERY GOOD,Male,43,4,1,Sales Representative,FULLY SATISFIED,Single,2678,Upto 5k,5050,1 TO 4,1,Y,No,16-20%,17,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,2,2,VERY GOOD,0-5YR,2,1,0-3 YR,2,2
RM1179,20,18-25,0,No,Travel_Rarely,1141,Sales,0-5 KM,2,3,Medical,1,1657,VERY GOOD,Female,31,3,1,Sales Representative,GOOD,Single,2783,Upto 5k,13251,1 TO 4,1,Y,No,16-20%,19,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,2,3,VERY GOOD,0-5YR,2,2,0-3 YR,2,2
RM1198,20,18-25,0,No,Travel_Rarely,727,Sales,6-10 KM,9,1,Life Sciences,1,1680,EXCELLENT,Male,54,3,1,Sales Representative,NOT SATISFIED,Single,2728,Upto 5k,21082,1 TO 4,1,Y,No,10-15%,11,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,2,3,VERY GOOD,0-5YR,2,2,0-3 YR,0,2
RM275,21,18-25,0,No,Travel_Rarely,996,Research & Development,0-5 KM,3,2,Medical,1,379,EXCELLENT,Male,100,2,1,Research Scientist,GOOD,Single,3230,Upto 5k,10531,1 TO 4,1,Y,No,16-20%,17,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,3,4,EXCELENT,0-5YR,3,2,0-3 YR,1,0
RM358,21,18-25,1,Yes,Travel_Frequently,756,Sales,0-5 KM,1,1,Technical Degree,1,478,POOR,Female,99,2,1,Sales Representative,POOR,Single,2174,Upto 5k,9150,1 TO 4,1,Y,Yes,10-15%,11,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,3,3,VERY GOOD,0-5YR,3,2,0-3 YR,1,2
RM371,21,18-25,1,Yes,Travel_Rarely,156,Sales,11-15 KM,12,3,Life Sciences,1,494,VERY GOOD,Female,90,4,1,Sales Representative,POOR,Single,2716,Upto 5k,25422,1 TO 4,1,Y,No,10-15%,15,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,1,0,VERY GOOD,0-5YR,1,0,0-3 YR,0,0
RM497,21,18-25,0,No,Travel_Rarely,1343,Sales,20 -30 KM,22,1,Technical Degree,1,669,VERY GOOD,Male,49,3,1,Sales Representative,GOOD,Single,3447,Upto 5k,24444,1 TO 4,1,Y,No,10-15%,11,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,3,2,VERY GOOD,0-5YR,3,2,0-3 YR,1,2
RM664,21,18-25,1,Yes,Travel_Rarely,1427,Research & Development,16-20 KM,18,1,Other,1,923,EXCELLENT,Female,65,3,1,Research Scientist,FULLY SATISFIED,Single,2693,Upto 5k,8870,1 TO 4,1,Y,No,16-20%,19,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,1,3,GOOD ,0-5YR,1,0,0-3 YR,0,0
RM778,21,18-25,1,Yes,Travel_Rarely,1334,Research & Development,6-10 KM,10,3,Life Sciences,1,1079,VERY GOOD,Female,36,2,1,Laboratory Technician,NOT SATISFIED,Single,1416,Upto 5k,17258,1 TO 4,1,Y,No,10-15%,13,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,1,6,GOOD ,0-5YR,1,0,0-3 YR,1,0
RM816,21,18-25,0,No,Travel_Rarely,984,Research & Development,0-5 KM,1,1,Technical Degree,1,1131,EXCELLENT,Female,70,2,1,Research Scientist,POOR,Single,2070,Upto 5k,25326,1 TO 4,1,Y,Yes,10-15%,11,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,2,6,EXCELENT,0-5YR,2,2,0-3 YR,2,2
RM916,21,18-25,1,Yes,Travel_Frequently,251,Research & Development,6-10 KM,10,2,Life Sciences,1,1279,POOR,Female,45,2,1,Laboratory Technician,GOOD,Single,2625,Upto 5k,25308,1 TO 4,1,Y,No,16-20%,20,ABOVE AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,2,2,POOR,0-5YR,2,2,0-3 YR,2,2
RM1153,21,18-25,0,No,Travel_Rarely,546,Research & Development,0-5 KM,5,1,Medical,1,1623,VERY GOOD,Male,97,3,1,Research Scientist,FULLY SATISFIED,Single,3117,Upto 5k,26009,1 TO 4,1,Y,No,16-20%,18,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,3,2,VERY GOOD,0-5YR,2,2,0-3 YR,2,2
RM1272,21,18-25,1,Yes,Travel_Rarely,337,Sales,6-10 KM,7,1,Marketing,1,1780,GOOD,Male,31,3,1,Sales Representative,POOR,Single,2679,Upto 5k,4567,1 TO 4,1,Y,No,10-15%,13,AVERAGE,POOR,80,BEGINNER,0-5 YEARS,1,3,VERY GOOD,0-5YR,1,0,0-3 YR,1,0
RM1437,21,18-25,0,No,Travel_Rarely,501,Sales,0-5 KM,5,1,Medical,1,2021,VERY GOOD,Male,58,3,1,Sales Representative,NOT SATISFIED,Single,2380,Upto 5k,25479,1 TO 4,1,Y,Yes,10-15%,11,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,2,6,VERY GOOD,0-5YR,2,2,0-3 YR,1,2
RM018,22,18-25,0,No,Non-Travel,1123,Research & Development,16-20 KM,16,2,Medical,1,22,EXCELLENT,Male,96,4,1,Laboratory Technician,FULLY SATISFIED,Divorced,2935,Upto 5k,7324,1 TO 4,1,Y,Yes,10-15%,13,AVERAGE,POOR,80,EXPERT,0-5 YEARS,1,2,GOOD ,0-5YR,1,0,0-3 YR,0,0
RM110,22,18-25,0,No,Travel_Rarely,534,Research & Development,11-15 KM,15,3,Medical,1,144,GOOD,Female,59,3,1,Laboratory Technician,FULLY SATISFIED,Single,2871,Upto 5k,23785,1 TO 4,1,Y,No,10-15%,15,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,1,5,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM129,22,18-25,0,No,Travel_Rarely,594,Research & Development,0-5 KM,2,1,Technical Degree,1,169,VERY GOOD,Male,100,3,1,Laboratory Technician,FULLY SATISFIED,Married,2523,Upto 5k,19299,PHRESHER,0,Y,No,10-15%,14,AVERAGE,GOOD,80,LEARNER,0-5 YEARS,3,2,VERY GOOD,0-5YR,2,1,0-3 YR,2,1
RM161,22,18-25,0,No,Travel_Rarely,1256,Research & Development,16-20 KM,19,1,Medical,1,217,VERY GOOD,Male,80,3,1,Research Scientist,FULLY SATISFIED,Married,2323,Upto 5k,11992,1 TO 4,1,Y,No,21-25 %,24,ABOVE AVERAGE,BAD,80,EXPERT,0-5 YEARS,2,6,VERY GOOD,0-5YR,2,2,0-3 YR,2,2
RM384,22,18-25,0,No,Travel_Rarely,253,Research & Development,11-15 KM,11,3,Medical,1,511,POOR,Female,43,3,1,Research Scientist,POOR,Married,2244,Upto 5k,24440,1 TO 4,1,Y,No,10-15%,13,AVERAGE,EXPERT,80,LEARNER,0-5 YEARS,2,1,VERY GOOD,0-5YR,2,1,0-3 YR,1,2
RM444,22,18-25,1,Yes,Travel_Frequently,1368,Research & Development,0-5 KM,4,1,Technical Degree,1,593,VERY GOOD,Male,99,2,1,Laboratory Technician,GOOD,Single,3894,Upto 5k,9129,5 TO 9,5,Y,No,16-20%,16,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,4,3,VERY GOOD,0-5YR,2,2,0-3 YR,1,2
RM499,22,18-25,0,No,Travel_Rarely,604,Research & Development,6-10 KM,6,1,Medical,1,675,POOR,Male,69,3,1,Research Scientist,GOOD,Married,2773,Upto 5k,12145,PHRESHER,0,Y,No,16-20%,20,ABOVE AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,3,3,VERY GOOD,0-5YR,2,2,0-3 YR,2,2
RM631,22,18-25,0,No,Travel_Rarely,1230,Research & Development,0-5 KM,1,2,Life Sciences,1,872,EXCELLENT,Male,33,2,2,Manufacturing Director,FULLY SATISFIED,Married,4775,Upto 5k,19146,5 TO 9,6,Y,No,21-25 %,22,ABOVE AVERAGE,BAD,80,EXPERT,0-5 YEARS,4,2,POOR,0-5YR,2,2,0-3 YR,2,2
RM667,22,18-25,1,Yes,Travel_Rarely,617,Research & Development,0-5 KM,3,1,Life Sciences,1,926,GOOD,Female,34,3,2,Manufacturing Director,GOOD,Married,4171,Upto 5k,10022,PHRESHER,0,Y,Yes,16-20%,19,AVERAGE,BAD,80,LEARNER,0-5 YEARS,4,3,EXCELENT,0-5YR,3,2,0-3 YR,0,2
RM735,22,18-25,0,No,Travel_Rarely,217,Research & Development,6-10 KM,8,1,Life Sciences,1,1019,GOOD,Male,94,1,1,Laboratory Technician,NOT SATISFIED,Married,2451,Upto 5k,6881,1 TO 4,1,Y,No,10-15%,15,AVERAGE,BAD,80,LEARNER,0-5 YEARS,4,3,GOOD ,0-5YR,4,3,0-3 YR,1,1
RM861,22,18-25,1,Yes,Travel_Frequently,1256,Research & Development,0-5 KM,3,4,Life Sciences,1,1203,VERY GOOD,Male,48,2,1,Research Scientist,FULLY SATISFIED,Married,2853,Upto 5k,4223,PHRESHER,0,Y,Yes,10-15%,11,AVERAGE,POOR,80,LEARNER,0-5 YEARS,1,5,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM1138,22,18-25,0,No,Non-Travel,457,Research & Development,20 -30 KM,26,2,Other,1,1605,GOOD,Female,85,2,1,Research Scientist,GOOD,Married,2814,Upto 5k,10293,1 TO 4,1,Y,Yes,10-15%,14,AVERAGE,POOR,80,BEGINNER,0-5 YEARS,4,2,GOOD ,0-5YR,4,2,0-3 YR,1,3
RM1274,22,18-25,1,Yes,Travel_Rarely,1294,Research & Development,6-10 KM,8,1,Medical,1,1783,VERY GOOD,Female,79,3,1,Laboratory Technician,NOT SATISFIED,Married,2398,Upto 5k,15999,1 TO 4,1,Y,Yes,16-20%,17,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,1,6,VERY GOOD,0-5YR,1,0,0-3 YR,0,0
RM1340,22,18-25,1,Yes,Travel_Rarely,391,Research & Development,6-10 KM,7,1,Life Sciences,1,1878,EXCELLENT,Male,75,3,1,Research Scientist,POOR,Single,2472,Upto 5k,26092,1 TO 4,1,Y,Yes,21-25 %,23,ABOVE AVERAGE,BAD,80,BEGINNER,0-5 YEARS,1,2,VERY GOOD,0-5YR,1,0,0-3 YR,0,0
RM1424,22,18-25,0,No,Travel_Rarely,581,Research & Development,0-5 KM,1,2,Life Sciences,1,2007,EXCELLENT,Male,63,3,1,Research Scientist,GOOD,Single,3375,Upto 5k,17624,PHRESHER,0,Y,No,10-15%,12,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,4,2,EXCELENT,0-5YR,3,2,0-3 YR,1,2
RM087,23,18-25,0,No,Travel_Rarely,541,Sales,0-5 KM,2,1,Technical Degree,1,113,VERY GOOD,Male,62,3,1,Sales Representative,NOT SATISFIED,Divorced,2322,Upto 5k,9518,1 TO 4,3,Y,No,10-15%,13,AVERAGE,GOOD,80,LEARNER,0-5 YEARS,3,3,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM346,23,18-25,0,No,Travel_Rarely,1309,Research & Development,20 -30 KM,26,1,Life Sciences,1,465,VERY GOOD,Male,83,3,1,Research Scientist,FULLY SATISFIED,Divorced,2904,Upto 5k,16092,1 TO 4,1,Y,No,10-15%,12,AVERAGE,GOOD,80,EXPERT,0-5 YEARS,4,2,GOOD ,0-5YR,4,2,0-3 YR,0,2
RM517,23,18-25,0,No,Travel_Rarely,885,Research & Development,0-5 KM,4,3,Medical,1,705,POOR,Male,58,4,1,Research Scientist,NOT SATISFIED,Married,2819,Upto 5k,8544,1 TO 4,2,Y,No,16-20%,16,AVERAGE,BAD,80,LEARNER,0-5 YEARS,5,3,EXCELENT,0-5YR,3,2,0-3 YR,0,2
RM551,23,18-25,0,No,Travel_Rarely,650,Research & Development,6-10 KM,9,1,Medical,1,758,GOOD,Male,37,3,1,Laboratory Technician,NOT SATISFIED,Married,2500,Upto 5k,4344,1 TO 4,1,Y,No,10-15%,14,AVERAGE,EXPERT,80,LEARNER,0-5 YEARS,5,2,EXCELENT,0-5YR,4,3,0-3 YR,0,2
RM566,23,18-25,0,No,Travel_Rarely,310,Research & Development,6-10 KM,10,1,Medical,1,784,POOR,Male,79,4,1,Research Scientist,GOOD,Single,3505,Upto 5k,19630,1 TO 4,1,Y,No,16-20%,18,AVERAGE,EXPERT,80,BEGINNER,0-5 YEARS,2,3,VERY GOOD,0-5YR,2,2,0-3 YR,0,2
RM586,23,18-25,1,Yes,Travel_Rarely,1243,Research & Development,6-10 KM,6,3,Life Sciences,1,811,VERY GOOD,Male,63,4,1,Laboratory Technician,NOT SATISFIED,Married,1601,Upto 5k,3445,1 TO 4,1,Y,Yes,21-25 %,21,ABOVE AVERAGE,GOOD,80,EXPERT,0-5 YEARS,1,2,VERY GOOD,0-5YR,0,0,0-3 YR,0,0
RM911,23,18-25,0,No,Travel_Rarely,373,Research & Development,0-5 KM,1,2,Life Sciences,1,1270,EXCELLENT,Male,47,3,1,Research Scientist,GOOD,Married,1223,Upto 5k,16901,1 TO 4,1,Y,No,21-25 %,22,ABOVE AVERAGE,EXPERT,80,LEARNER,0-5 YEARS,1,2,VERY GOOD,0-5YR,1,0,0-3 YR,0,1
RM1083,23,18-25,0,No,Travel_Rarely,507,Research & Development,16-20 KM,20,1,Life Sciences,1,1533,POOR,Male,97,3,2,Laboratory Technician,GOOD,Single,2272,Upto 5k,24812,PHRESHER,0,Y,No,10-15%,14,AVERAGE,POOR,80,BEGINNER,0-5 YEARS,5,2,VERY GOOD,0-5YR,4,3,0-3 YR,1,2
RM1128,23,18-25,0,No,Travel_Rarely,977,Research & Development,6-10 KM,10,3,Technical Degree,1,1592,EXCELLENT,Male,45,4,1,Research Scientist,GOOD,Married,2073,Upto 5k,12826,1 TO 4,2,Y,No,16-20%,16,AVERAGE,EXPERT,80,LEARNER,0-5 YEARS,4,2,VERY GOOD,0-5YR,2,2,0-3 YR,2,2
RM1202,23,18-25,1,Yes,Travel_Rarely,1320,Research & Development,6-10 KM,8,1,Medical,1,1684,EXCELLENT,Male,93,2,1,Laboratory Technician,GOOD,Single,3989,Upto 5k,20586,1 TO 4,1,Y,Yes,10-15%,11,AVERAGE,BAD,80,BEGINNER,0-5 YEARS,5,2,VERY GOOD,0-5YR,5,4,0-3 YR,1,2
RM1214,23,18-25,1,Yes,Travel_Rarely,427,Sales,6-10 KM,7,3,Life Sciences,1,1702,VERY GOOD,Male,99,3,1,Sales Representative,FULLY SATISFIED,Divorced,2275,Upto 5k,25103,1 TO 4,1,Y,Yes,21-25 %,21,ABOVE AVERAGE,POOR,80,LEARNER,0-5 YEARS,3,2,VERY GOOD,0-5YR,3,2,0-3 YR,0,2
RM1239,23,18-25,0,No,Travel_Rarely,160,Research & Development,0-5 KM,4,1,Medical,1,1735,VERY GOOD,Female,51,3,1,Laboratory Technician,POOR,Single,3295,Upto 5k,12862,1 TO 4,1,Y,No,10-15%,13,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,3,3,POOR,0-5YR,3,2,0-3 YR,1,2
RM1409,23,18-25,0,No,Travel_Rarely,571,Research & Development,11-15 KM,12,2,Other,1,1982,EXCELLENT,Male,78,3,1,Laboratory Technician,FULLY SATISFIED,Single,2647,Upto 5k,13672,1 TO 4,1,Y,No,10-15%,13,AVERAGE,GOOD,80,BEGINNER,0-5 YEARS,5,6,EXCELENT,0-5YR,5,2,0-3 YR,1,4
RM1439,23,18-25,1,Yes,Travel_Frequently,638,Sales,6-10 KM,9,3,Marketing,1,2023,EXCELLENT,Male,33,3,1,Sales Representative,NOT SATISFIED,Married,1790,Upto 5k,26956,1 TO 4,1,Y,No,16-20%,19,AVERAGE,BAD,80,LEARNER,0-5 YEARS,1,3,GOOD ,0-5YR,1,0,0-3 YR,1,0
RM021,24,18-25,0,No,Non-Travel,673,Research & Development,11-15 KM,11,2,Other,1,26,POOR,Female,96,4,2,Manufacturing Director,GOOD,Divorced,4011,Upto 5k,8232,PHRESHER,0,Y,No,16-20%,18,AVERAGE,EXPERT,80,LEARNER,0-5 YEARS,5,5,GOOD ,0-5YR,4,2,0-3 YR,1,3
RM035,24,18-25,1,Yes,Travel_Rarely,813,Research & Development,0-5 KM,1,3,Medical,1,45,GOOD,Male,61,3,1,Research Scientist,FULLY SATISFIED,Married,2293,Upto 5k,3020,1 TO 4,2,Y,Yes,16-20%,16,AVERAGE,BAD,80,LEARNER,6-10 YR,6,2,GOOD ,0-5YR,2,0,0-3 YR,2,0
RM097,24,18-25,0,No,Travel_Rarely,1353,Sales,0-5 KM,3,2,Other,1,128,POOR,Female,33,3,2,Sales Executive,GOOD,Married,4999,Upto 5k,17519,PHRESHER,0,Y,No,21-25 %,21,ABOVE AVERAGE,BAD,80,LEARNER,0-5 YEARS,4,2,GOOD ,0-5YR,3,2,0-3 YR,0,2
